name,city,street_address,logo_url,latitude,longitude
Razia Shafi Hospital,Kamoke,"Near THQ, Service Rd Pak Town Kamoke",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Siddique medicare Hospital,Kamoke,"GT Road, Main Bazar, Near Allied Bank Pak Town Kamoke",https://static.marham.pk/assets/images/default-hospital-image.jpg,32.154378,74.184225
Kamoki Family Hospital,Kamoke,"Ashraf Bajwa Building, Near Civil Hospital Mian GT Road Kamoke",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Al Shifa Surgical Hospital,Kamoke,"Flour Mill St, Mohalla Muslim Ganj Kamoke Kamoke",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.982368,74.219857
Bhutta Clinic,Kabirwala,Kabirwala Khanewal Road Kabirwala,https://static.marham.pk/assets/images/default-hospital-image.jpg,30.407467,71.86788
Kashif Medical and Laser Centre,Kabirwala,Near Chowk Town Hall Near Chowk Town Hall Kabirwala,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Nazeer Medical Complex,Kabirwala,"Near Al Noor Marriage Hall, Multan Rd, Kabirwala Kabirwala",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Zainab Hospital,Kabirwala,Opposite to Ghalla Mandi Jhang Road Jhang Road Kabirwala,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Al Noor Hospital Jauharabad,Jauharabad,Muzaffar Garh Road Khushab Jauharabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.285749,72.268305
Al Zahra Hospital,Jauharabad,Near Markazi Imam Main DHQ Road Jauharabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Raja Sarfaraz Memorial Hospital,Jauharabad,Khushab punjab Jauharabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.284648,72.287566
Muhammad Hospital,Jauharabad,Muzaffar Garh Road 37-A Civil Lines Jauharabad,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Rana Medical Complex,Jauharabad,"Rana Medical Complex,BlockB,  Jauharabad Civil Lines Jauharabad",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Salman Neuro Centre,Jhang,Madina Town BHAKKAR Jhang,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.259296,72.308332
Kaleem Medicare,Jhang,near gojra phatak opposite underpass ghaziabad  sadar Sadar Jhang,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Magsi Clinic,Jhang,"Church Rd, Burji Mohalla Mohalla Burji Wala Church Road Jhang",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.267122,72.319041
Saeed Medical Complex / Anzalna Kidney Center,Jhang,Gojra Road Near T.B Hospital Sadar Jhang,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Rana Hospital,Jhang,"Old Chiniot Rd, Mohala Kapaian Jhang Sadar Jhang City Jhang",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.276597,72.322756
Thq Hospital Jand,Jand,Jand Road Near Masjid e Rehmania Muhalla Hussainabad Jand,https://static.marham.pk/assets/images/default-hospital-image.jpg,33.424721,72.008103
Doctors Center,Jaranwala,near Imam Bargah water works road Jaranwala,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Prime Care Hospital,Jaranwala,"Near Lasania Restaurant, madina town Off Susan Road Jaranwala",https://static.marham.pk/assets/images/default-hospital-image.jpg,31.427027,73.12743
Tehreek Khidmat-e-Insaani Hospital,Jaranwala,Near Fawara Chowk Faisalabad Road Jaranwala,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Fazal Ilahi Chatha Hospital,Jaranwala,"Faisalabad Rd, Punjab Faisalabad Road Jaranwala",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Polyclinic,Jaranwala,Doctors centre waterworks road infront of imam bargah Imam Bargah Jaranwala,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Chatta Hospital (zaheer Chattha) Jaranwala,Jaranwala,Faisalbad Road Faisalbad Road Jaranwala,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
BaåŸKent University Hospital,Izmir,"Sok. No:7, 35550 YalÄ± Mahallesi Izmir",https://static.marham.pk/assets/images/default-hospital-image.jpg,38.471642,27.085615
Netgoz Eye Hospital,Izmir,Caher Dudayev Blv No:67 YalÄ± Mahallesi Izmir,https://static.marham.pk/assets/hospitals/2617/2617-903756ff4e394ff2bd663fd603dfd15559367d10_450X450.png,38.472482,27.084501
Liaquat University of Medical and Health Sciences (LUMHS),Jamshoro,"Jamshoro, Sindh Sindh Jamshoro",https://static.marham.pk/assets/images/default-hospital-image.jpg,25.435156,68.270186
Shahbaz Medical Center,Jamshoro,Sindh University Employees Cooperative Housing Society? Phase 1 Jamshoro,https://static.marham.pk/assets/images/default-hospital-image.jpg,25.41085,68.273088
Dr. Nosheen Shahzad Nizamani Clinic,Jamshoro,"A-34 Street No 01, Phase - I sindh university employ cooperative housing society Jamshoro",https://static.marham.pk/assets/images/default-hospital-image.jpg,25.410972,68.272402
Hashir Clinic,Jamshoro,A.78 phase1 sindh university employ cooperative housing society Jamshoro,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Liaquat University of Medical and Health Sciences,Jamshoro,Jamshoro 0 Jamshoro,https://static.marham.pk/assets/images/default-hospital-image.jpg,25.434198,68.382112
Matrinity home,Jamshoro,bhan saeedabad taluka sehwen district jamshoro Sindh Jamshoro,https://static.marham.pk/assets/images/default-hospital-image.jpg,26.554592,67.722894
Civil Hospital Jacobabad,Jacobabad,"Civil Hospital Road, Near civil Court Building Dastagir road Jacobabad",https://static.marham.pk/assets/images/default-hospital-image.jpg,28.164424,68.263656
